Field,Year,Month,Cfactor,Land_ID,Field_ID,HYDRO,SOIL_CODE,SOILNAME,NAME08F,NAME09F,NAME10F,NAME11F,NAME12F,NAME13F,NAME14F,NAME15F,NAME16F,NAME17F,NAME18F,NAME19F,cropCycle,Slope,SlopeLength,OM,ATEXTURE,FinalArea_m2,FinalLength_m
0,2012,10,0.213870968,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2012,11,0.273333333,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2012,12,0.315483871,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,1,0.345483871,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,2,0.373214286,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,3,0.429354839,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,4,0.465,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,5,0.433870968,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,6,0.241666667,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,7,0.14,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,8,0.158387097,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,9,0.254,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,10,0.32,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,11,0.357,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2013,12,0.374516129,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,1,0.384516129,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,2,0.397142857,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,3,0.430645161,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,4,0.533666667,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,5,0.343548387,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,6,0.175333333,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,7,0.166129032,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,8,0.170548387,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,9,0.0704,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,10,0.079064516,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,11,0.081966667,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2014,12,0.082,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2015,1,0.082,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2015,2,0.082535714,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2015,3,0.088,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
0,2015,4,0.102233333,21,0,B,BAY,BRADY,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,Corn,Soybeans,Corn,Edible Beans,SCECSCE,1.4,1419,3.1,CL,156.9792159,100.3014274
